Date,NVDA,MSFT,GS,JPM,TLT,GLD,SPY
2021-01-01,131.35169068128874,415.1039501841528,484.72618373059737,213.28211431085938,93.26409205606521,187.10036752218858,592.0717917762657
2021-01-04,130.24877416298236,413.9940793797062,477.46338652028965,212.67320948285666,94.00278113061192,187.5469887139143,593.2021082951796
2021-01-05,132.25244809420752,410.9070153485978,480.1034102474491,211.69910916117206,94.67959626308283,187.87811414737342,592.4486611383131
2021-01-06,129.7037970193946,415.88486081791524,479.7248275761469,210.8544992393358,94.50725773130932,188.72338928237156,593.5552570849404
2021-01-07,131.48113564381168,420.47998720370265,498.84038095292084,216.19831601386227,93.78237015321835,187.35317989319697,602.6788325322968
2021-01-08,136.20082599756105,424.66842566103423,495.660385721871,213.7120696749976,94.32892357644039,189.0058365695625,606.3093968684784
2021-01-11,133.63837995461006,423.65123859532343,495.30705509476667,214.04746687200432,95.09810709350376,189.782103431327,606.8435260412272
2021-01-12,134.06316274697997,426.01018170915296,501.4170358469595,213.20571565672992,94.82334607534256,188.9342125577757,606.1906390539118
2021-01-13,133.10279064743548,434.61214965187725,497.2119684857429,213.90236850967761,93.54161308405769,187.8064694354438,608.6980531411247
2021-01-14,135.6363690152128,441.9762443717556,507.20236896118104,216.44781969294,93.00895861422805,189.31335670576698,614.1795035117686
2021-01-15,130.6516443282933,429.5870169617036,493.7057039223918,213.1201569430928,93.40113855411141,190.4537347295152,603.7342885954405
2021-01-18,131.4279149501932,434.50869074858895,493.36572166168537,213.99051421126035,92.86573585219274,189.680781402637,604.6513102255835
2021-01-19,126.90387278378248,432.8653234168365,487.3796538003111,212.14752266247567,93.45698817134098,190.62558206183442,602.3576384565409
2021-01-20,126.66960108384758,430.03807600313513,485.81575007146716,208.47455101866393,92.42419734507783,187.76204313542863,596.6775502485663
2021-01-21,128.35505940547233,426.2608805367812,482.4242301011841,209.8695678613827,92.09925580212857,188.98823506940673,593.9009907976705
2021-01-22,127.70445338371712,419.7679183025183,477.47425864043595,209.86365480641197,90.79217103302433,189.08905070772073,592.4330430439012
2021-01-25,125.57251355532381,408.81977657531246,473.5101596433989,207.52631527122784,91.09404247184801,189.16729736467886,591.7240716021305
2021-01-26,124.80794475526028,402.02466421922816,472.28636898098455,207.51245282658886,92.18371610584386,191.1894051137158,590.121222959995
2021-01-27,130.60172082116105,400.9495435332565,469.53214258649444,204.9654901278612,91.85323535256295,188.72976137303058,592.9823585279987
2021-01-28,129.87379470982594,391.7608418947956,458.6370921989772,202.0242815826402,92.69153409009633,192.50836166783444,596.3582911873857
2021-01-29,131.6601381278815,387.8943727296337,442.7629913095613,197.4253994551952,92.27991688285029,191.42022304605496,589.7469064720946
2021-02-01,131.24908547525376,393.74685669931904,445.79441881276057,198.22111397856727,91.45700063701332,188.21382726149707,590.5151624138464
2021-02-02,131.18399252750157,404.18301668303263,450.2792531691432,201.59006859590355,90.98457991993367,186.17152173149103,592.5216132652638
2021-02-03,128.48372525965394,414.3971101301612,446.81830275793527,202.13274983547163,90.40202760812778,187.52080584966535,595.4236077313005
2021-02-04,128.02123115113963,413.78345646860294,441.90461672321624,201.36417095190015,90.13613676247857,185.28662505524224,589.7410156412544
2021-02-05,128.83658847920995,424.5019662122307,446.81626139731895,202.91802014729896,90.30368685926972,187.81394231451642,595.4245229819737
2021-02-08,127.38955228120129,430.0342866296586,451.1537947759598,207.28088712524092,90.35451433774179,185.93726952223983,594.1157884973958
2021-02-09,134.0615817610542,448.5005985610063,458.1574695845013,209.13109261683567,91.31621793667283,184.89769727141666,600.5956754728811
2021-02-10,136.84950143470098,448.97903087598627,459.38683742990406,209.2821918533728,91.52624464915793,187.55282749114212,602.7986020350128
2021-02-11,139.6979832673255,438.6317690083924,456.9739359208576,206.85322578238996,90.58519173502063,185.59105117500377,599.1047788712087
2021-02-12,143.78329618063228,434.2605188337215,457.3618951916299,206.0856798670347,90.27049486502484,187.27175832845836,601.5574075984555
2021-02-15,149.88623228027564,439.2114364782756,455.9969931509012,205.33389160215768,90.40698547529898,187.82173553080932,601.5026096268836
2021-02-16,150.46686102255242,441.35912525165895,475.6440721145176,215.3626701054708,89.33502224168839,187.26929409594038,605.1858828969401
2021-02-17,147.97032174612315,441.1635346023601,484.02457101570684,216.70436945305943,88.7922484938747,183.44237894136154,605.0908941234421
2021-02-18,143.4544396959004,433.52437502902296,473.3365176951062,213.00564898684868,87.71172071150139,180.24387087248385,604.8960612752511
